Story;ColLine;SecID;StnLoc;DesignOpt;Status;PMMCombo;AsMin;As;CornerRebarAs;MidRebarAs;PMMRatio;VMajCombo;VMajRebar;VMinCombo;VMinRebar;ErrMsg;WarnMsg
STORY1;C9;C40X35H210;0.78;Design;No Message;U07B;0.0014;0.0014;0.000233;0.000233;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C9;C40X35H210;1.04;Design;No Message;U07B;0.0014;0.0014;0.000233;0.000233;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C9;C40X35H210;1.3;Design;No Message;U07B;0.0014;0.0014;0.000233;0.000233;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C9;C40X35H210;1.56;Design;No Message;U07B;0.0014;0.0014;0.000233;0.000233;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C9;C40X35H210;1.82;Design;No Message;U07B;0.0014;0.0014;0.000233;0.000233;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C9;C40X35H210;2.08;Design;No Message;U07B;0.0014;0.0014;0.000233;0.000233;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C9;C40X35H210;2.34;Design;No Message;U07B;0.0014;0.0014;0.000233;0.000233;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C9;C40X35H210;2.6;Design;No Message;U07B;0.0014;0.0014;0.000233;0.000233;;U08;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;0;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;0.23;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;0.46;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;0.69;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;0.92;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;1.15;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;1.38;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;1.61;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;1.84;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;2.07;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY2;C10;C35X40H210;2.3;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U04B;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;0;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;0.26;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;0.52;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;0.78;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;1.041;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;1.301;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;1.561;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;1.821;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;2.081;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;2.341;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY1;C10;C35X40H210;2.601;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U08;0.000292;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;0;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;0.23;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;0.46;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;0.69;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;0.92;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;1.15;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;1.38;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;1.61;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;1.84;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;2.07;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY2;C11;C35X40H210;2.3;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;0;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;0.27;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;0.54;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;0.81;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;1.08;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;1.35;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;1.62;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;1.89;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;2.16;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;2.43;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
STORY1;C11;C35X40H210;2.7;Design;No Message;U07B;0.0014;0.0014;0.000175;0.000175;;U07B;0;U07B;0;No Message;No Message
